Speaker label,Gender(M/F),Word,Vowel Phoneme,Class Number,Formant 1,Formant 2,Formant 3,Time marker,,,,
cet001,F,head,EH,2,797.1279,2212.0947,3088.845,3.402988,,,,
cet001,F,hard,AA,3,749.8923,2157.5362,3047.0742,5.172314,,,,
jat001,F,hid,IH,1,551.735,2435.1729,3128.3612,2.007808,,,,
jat001,F,head,EH,2,764.1292,2312.1831,3087.9721,2.737656,,,,
jat001,F,hard,AA,3,892.0411,1758.0035,2770.5009,4.075242,,,,
sjf001,F,hid,IH,1,538.8365,2174.9626,2965.4542,2.557917,,,,
sjf001,F,head,EH,2,732.5493,1980.3111,2973.7743,3.302961,,,,
sjf001,F,hard,AA,3,952.0463,1589.6524,1769.8221,4.62942,,,,
sxc002,F,hid,IH,1,574.3981,2397.2752,3057.9255,3.026408,,,,
sxc002,F,head,EH,2,855.4843,2131.6129,2927.1728,3.600727,,,,
sxc002,F,hard,AA,3,918.5872,1358.3485,2870.3504,5.128071,,,,
yjs001,F,hid,IH,1,526.5817,2664.3954,3047.0311,4.049084,,,,
yjs001,F,head,EH,2,942.5259,2010.6108,3029.8428,5.029927,,,,
yjs001,F,hard,AA,3,914.6991,1313.884,3058.4468,6.389839,,,,
rlg001,F,hid,IH,1,436.4241,2480.6853,3004.0608,3.002467,,,,
rlg001,F,head,EH,2,591.548,2166.1875,2969.419,3.908785,,,,
rlg001,F,hard,AA,3,759.7524,1207.4727,2671.2174,5.937899,,,,
rva001,F,hid,IH,1,450.4705,2405.0992,3070.5027,2.457578,,,,
rva001,F,head,EH,2,587.1154,2210.0692,3085.9998,3.039444,,,,
rva001,F,hard,AA,3,820.9506,1065.7415,2899.46,4.486718,,,,
rxb001,F,hid,IH,1,508.87,2820.4538,3373.0559,2.803919,,,,
rxb001,F,head,EH,2,692.0855,2388.1782,2702.1401,3.372012,,,,
rxb001,F,hard,AA,3,857.5152,1280.9704,2668.295535,4.581713,,,,
seg001,F,hid,IH,1,450.3842,2419.7979,2858.1688,1.310816,,,,
seg001,F,head,EH,2,717.8971,2066.3306,2380.8894,1.892748,,,,
seg001,F,hard,AA,3,747.7203,1137.3308,2959.3897,3.08948,,,,
wsf001,F,hid,IH,1,437.5236,2611.158,3135.0402,2.67422,,,,
wsf001,F,head,EH,2,631.0372,2352.1132,3073.9587,3.170153,,,,
wsf001,F,hard,AA,3,833.6184,1133.7657,2555.1007,4.490161,,,,
ccm001,F,hid,IH,1,552.241,2120.8421,3105.1376,2.663114,,,,
ccm001,F,head,EH,2,615.0825,2324.682,2989.0466,3.828988,,,,
ccm001,F,hard,AA,3,892.2944,1216.5583,2377.9803,5.898256,,,,
dsf001,F,hid,IH,1,489.2422,2487.3811,3117.2443,1.908883,,,,
dsf001,F,head,EH,2,610.9369,2520.0023,2931.6392,2.708585,,,,
dsf001,F,hard,AA,3,766.7456,1143.4024,2947.2282,4.247933,,,,
gxi001,F,hid,IH,1,651.4367,2237.6241,3066.3073,2.156235,,,,
gxi001,F,head,EH,2,646.476,2404.7222,3141.9168,3.115413,,,,
gxi001,F,hard,AA,3,792.0091,1013.702,2340.7611,4.750906,,,,
ppb001,F,hid,IH,1,479.7523,2198.4604,2304.7806,2.204536,,,,
ppb001,F,head,EH,2,548.6656,1431.2458,2504.7335,3.181687,,,,
ppb001,F,hard,AA,3,806.9815,1231.4861,2707.68,5.313748,,,,
smf001,F,hid,IH,1,605.1057,2224.5656,3144.2202,1.841828,,,,
smf001,F,head,EH,2,577.1634,2534.6804,3283.1899,3.294795,,,,
smf001,F,hard,AA,3,861.1532,1268.7185,2757.6976,5.193831,,,,
aaj001,M,hid,IH,1,1668.1754,2344.9176,2674.792,2.062217,,,,
aaj001,M,head,EH,2,621.1262,1579.2361,2769.5535,2.523165,,,,
aaj001,M,hard,AA,3,631.0345,1107.9252,2618.1611,3.486881,,,,
pam001,M,hid,IH,1,536.9027,2219.8781,2799.2573,1.873014,,,,
pam001,M,head,EH,2,723.3116,1988.9792,2863.6471,2.675433,,,,
pam001,M,hard,AA,3,766.1847,1184.88991,2589.7357,4.709207,,,,
sjb001,M,hid,IH,1,491.0724,1913.2286,2529.0904,2.546343,,,,
sjb001,M,head,EH,2,691.5742,1643.0282,2513.2502,3.469435,,,,
sjb001,M,hard,AA,3,663.9878,1099.9888,2453.5218,5.026408,,,,
mfl001,M,hid,IH,1,553.7386,1850.9143,2502.7471,3.750036,,,,
mfl001,M,head,EH,2,765.558,1672.1046,2496.2706,5.348895,,,,
mfl001,M,hard,AA,3,863.5756,1034.87022,2482.6197,8.599531,,,,
dwl001,M,hid,IH,1,523.5195,1942.8255,2634.6107,2.305116,,,,
dwl001,M,head,EH,2,624.5286,1699.3682,2490.1386,4.605992,,,,
dwl001,M,hard,AA,3,737.9074,938.8898,2536.086,6.540373,,,,
ajm002,M,hid,IH,1,460.3579,1859.1383,2747.4628,1.86588,,,,
ajm002,M,head,EH,2,632.839,1846.4695,2821.0081,2.461289,,,,
ajm002,M,hard,AA,3,678.8074,997.4794,2577.8807,3.686834,,,,
jxw001,M,hid,IH,1,466.9827,1885.7063,2631.9892,2.765306,,,,
jxw001,M,head,EH,2,406.9021,2246.448,2723.8798,3.281623,,,,
jxw001,M,hard,AA,3,724.6982,1101.5807,2440.6787,4.848168,,,,
pja001,M,hid,IH,1,528.7697,1751.4134,2523.234,1.864333,,,,
pja001,M,head,EH,2,623.4356,1754.4331,2468.3485,2.578679,,,,
pja001,M,hard,AA,3,863.6118,1056.938,2396.8775,4.273083,,,,
sxl001,M,hid,IH,1,493.8709,1741.3607,2558.281,2.257521,,,,
sxl001,M,head,EH,2,574.8538,1795.4008,2518.7387,3.410552,,,,
sxl001,M,hard,AA,3,831.1039,1056.271,2394.1499,5.617282,,,,
gsb001,M,hid,IH,1,519.94,1997.2683,2644.3333,4.381329,,,,
gsb001,M,head,EH,2,563.4986,2020.6908,2681.4566,5.425343,,,,
gsb001,M,hard,AA,3,688.2001,1068.6361,2790.357,7.495329,,,,
apd001,M,hid,IH,1,344.7237,2192.8157,2774.8634,1.562346,,,,
apd001,M,head,EH,2,528.8425,1964.0173,2591.9648,2.303324,,,,
apd001,M,hard,AA,3,693.0737,982.9524,2791.3663,3.532403,,,,
ars001,M,hid,IH,1,381.934,2016.8622,2693.6297,3.720826,,,,
ars001,M,head,EH,2,567.8874,1818.7422,2542.3986,4.485016,,,,
ars001,M,hard,AA,3,644.7927,1035.3286,2780.2113,6.247085,,,,
ikp001,M,hid,IH,1,295.801,2335.9378,3120.7252,2.562597,,,,
ikp001,M,head,EH,2,607.782,2144.6661,2723.9202,3.590787,,,,
ikp001,M,hard,AA,3,766.9167,883.479,2877.6549,5.620804,,,,
jxs001,M,hid,IH,1,420.3175,2069.3457,2681.8116,1.935104,,,,
jxs001,M,head,EH,2,620.937,1850.7203,2593.3201,2.68041,,,,
jxs001,M,hard,AA,3,853.0832,1044.5847,2566.2823,4.02846,,,,
wxh001,M,hid,IH,1,1468.5028,2701.6083,3349.5265,3.207563,,,,
wxh001,M,head,EH,2,561.9212,1940.2125,2482.4639,4.287021,,,,
wxh001,M,hard,AA,3,888.9888,1057.7632,2437.5633,6.284739,,,,
dps001,M,hid,IH,1,981.681,2242.0844,2939.9211,1.772655,,,,
dps001,M,head,EH,2,648.2988,1811.1463,2455.0771,2.935334,,,,
dps001,M,hard,AA,3,773.0819,1357.8426,2043.85135,4.630143,,,,
pxc001,M,hid,IH,1,436.1473,1920.6954,2628.9335,3.343497,,,,
pxc001,M,head,EH,2,642.7006,1605.4938,2580.2893,5.033503,,,,
pxc001,M,hard,AA,3,720.3475,1156.2311,2366.5198,8.034641,,,,
rmn002,M,hid,IH,1,390.3854,2144.4174,2876.0323,1.935443,,,,
rmn002,M,head,EH,2,626.9661,1809.9113,2875.0508,2.604832,,,,
rmn002,M,hard,AA,3,774.177,1514.5882,2619.8405,4.06401,,,,
sph001,M,hid,IH,1,555.4101,2072.2855,2681.0217,2.848231,,,,
sph001,M,head,EH,2,688.0357,1822.6486,2608.7742,3.82115,,,,
sph001,M,hard,AA,3,700.9076,1302.142,2577.7183,5.791887,,,,
txb001,M,hid,IH,1,428.3942,1959.3652,2465.8971,2.79491,,,,
txb001,M,head,EH,2,598.2337,1810.6303,2576.0695,4.19169,,,,
txb001,M,hard,AA,3,709.5251,1217.0165,2706.34,6.10499,,,,
drb001,M,hid,IH,1,738.9351,1139.1536,2338.2735,2.18305,,,,
drb001,M,head,EH,2,563.1009,1912.024,2492.0362,3.23584,,,,
drb001,M,hard,AA,3,720.5494,892.8844,2042.676,4.159475,,,,
hfi001,M,hid,IH,1,766.6825,1333.3834,2490.1077,2.838454,,,,
hfi001,M,head,EH,2,529.4947,1840.4222,2668.3878,4.055449,,,,
hfi001,M,hard,AA,3,821.753,931.1613,2711.276,6.042076,,,,
nam001,M,hid,IH,1,407.0001,2206.6766,2751.9015,1.249752,,,,
nam001,M,head,EH,2,550.578,1759.2299,2536.4728,1.860229,,,,
nam001,M,hard,AA,3,696.8319,1104.8883,2230.603,3.206959,,,,
pad001,M,hid,IH,1,318.589,2218.6138,2923.3027,1.733388,,,,
pad001,M,head,EH,2,513.8416,1951.5218,2562.6744,2.26875,,,,
pad001,M,hard,AA,3,560.7143,924.6984,2373.5929,3.447534,,,,
yaa001,M,hid,IH,1,366.1839,2245.7619,2928.3597,1.241281,,,,
yaa001,M,head,EH,2,594.8594,2010.9886,2846.8982,1.672674,,,,
yaa001,M,hard,AA,3,767.1236,1114.2217,2755.5266,2.366704,,,,
